Ticker,Price,1_month,3_month,6_month,12_month,Daily_Vol
MMM,164.35000610351562,0.058069942484592074,0.08810716078158176,0.19675450439514575,0.2516669575761068,0.29645285551103523
AOS,66.04499816894531,-0.06566199773794068,-0.062496141859154974,-0.018913621354706422,-0.11554411561716771,0.2443764479477489
ABT,124.54000091552734,-0.06834144106948381,-0.0684107740764266,-0.062273800514414446,0.08647111521699191,0.2143286203523057
ABBV,216.78500366210938,-0.055752343667545,0.10248837834618474,0.1867318981733619,0.1151343509072893,0.2875943183609696
ACN,247.83999633789062,-0.020317809615208682,0.03612039924698651,-0.19360419723501443,-0.29413850171089184,0.2823158248950684
ADBE,335.5299987792969,-0.037961953870566556,-0.016185278437900852,-0.1262011841128976,-0.3353604030982691,0.3382520676488104
AMD,256.3299865722656,0.088172818937585,0.48373463025389785,1.5204522543173598,0.766574609165747,0.58351392507221
AES,14.220000267028809,-0.022350204188038125,0.09762051391375559,0.3489960075891001,0.06291104196319686,0.5052509896126816
AFL,111.25,-0.005808771376366595,0.08053473047839832,0.05808643276055525,0.04656396314214084,0.21521632054823417
A,146.77999877929688,0.0423975663959435,0.2831506947806117,0.3558829557240166,0.0739627797439224,0.3170707293831441
APD,237.44000244140625,-0.11594305490994083,-0.17223543119872775,-0.10793949186114715,-0.20617496131849233,0.24260421616524055
ABNB,122.5,0.020918428043312343,0.012229411650858779,-0.030777746723899657,-0.13065079258854506,0.3920499358069152
AKAM,72.9800033569336,-0.04874866793876276,0.034737056855810966,-0.14583331845077574,-0.30302737088118525,0.41528091301968517
ALB,91.83999633789062,0.0016358806030158934,0.22334781785960578,0.618049121805267,-0.028458874769829334,0.6138380527140167
ARE,54.470001220703125,-0.27585748023477685,-0.2543426923465364,-0.23532362196636702,-0.4876178787004749,0.37238545573526494
ALGN,137.2100067138672,0.030956574418385507,-0.01908777577740406,-0.2416403456128935,-0.38977094512197186,0.5339276292435026
ALLE,165.8800048828125,-0.06950131313573116,0.013193279049623197,0.18155078165120853,0.19037830338620876,0.25181203190520607
LNT,66.8499984741211,-0.007622095208065893,0.02609214070433663,0.11081934650757641,0.2111448409396386,0.183775693373254
ALL,194.92999267578125,-0.08203443808352207,-0.052749632201671504,-0.02853897720084808,0.05249727832229634,0.26553666492044325
GOOGL,284.30999755859375,0.1622516688482165,0.41279064697824963,0.8466992644438927,0.6178335100291135,0.3257796594271877
GOOG,284.75,0.16006678159971366,0.4102850870779271,0.8320839232843447,0.6037473701470775,0.32117815183582127
MO,57.15999984741211,-0.12626106011501237,-0.09512761567321726,-0.02166381680591467,0.1295947370944499,0.20171821265550077
AMZN,250.1999969482422,0.11091375362821365,0.12353493288983342,0.3025822290875828,0.20817036734122474,0.34935009317680904
AMCR,8.109999656677246,0.017565855730371283,-0.16132372360999747,-0.10308837225000189,-0.17329833505758263,0.25317218110419953
AEE,101.22000122070312,-0.023915099330011125,0.005462816064174536,0.05143335185696496,0.1872991968725073,0.17876907612849893
AEP,119.76000213623047,0.013283692887666732,0.0645333523220486,0.1581371893680159,0.29000242925573394,0.19517564507587537
AXP,365.7799987792969,0.13244025292239803,0.23291813561063757,0.296032711477888,0.2526098304633062,0.3144491476608417
AIG,76.33000183105469,-0.09130950201125376,-0.017297703890772786,-0.05666901413696335,0.012524066448496685,0.2336048375365081
AMT,179.46560668945312,-0.032999567699151466,-0.12329851734315755,-0.16250906813340427,-0.06006885900271286,0.253118215054624
AWK,130.99000549316406,-0.08083635855532423,-0.08780329036668888,-0.10500436052497275,0.004005584825442554,0.24552134526824862
AMP,459.20001220703125,-0.07752264142603449,-0.078744104802424,-0.04186839110497109,-0.18321263150398082,0.28266135870276904
AME,198.09500122070312,0.08136360380291108,0.08973443924400915,0.15848461993424423,0.04774105054038458,0.22551149988000843
AMGN,319.8599853515625,0.08566964446637648,0.11874120677544076,0.1957524503339061,0.027238273911271316,0.28551185754959213
APH,138.8800048828125,0.10406235688062027,0.26452491502291253,0.7289477515904166,0.939670907813398,0.353651700587169
ADI,236.0,0.009625668449197766,0.061909989776715024,0.19089414833587015,0.06103798100538116,0.3895729874306852
AON,341.70599365234375,-0.06874335575430979,-0.06389613238624592,-0.048084193501820804,-0.09838059907607744,0.21744342053817287
APA,21.65999984741211,-0.10965451367015122,0.09457766566048331,0.3721196529416577,-0.07782409558601056,0.5386345232532618
APO,133.74989318847656,0.06108599722569674,-0.04867793385876129,0.04158196185609886,-0.17220153011909034,0.42036052451626665
AAPL,270.1400146484375,0.05325952540932133,0.2291351451889705,0.3798790104625591,0.21855803760895265,0.3270031710158551
AMAT,240.79400634765625,0.1070480089598298,0.3062375967582194,0.5523770025100605,0.2974584715969073,0.45636342655127277
APTV,83.61000061035156,-0.01006391763361214,0.24977576537137636,0.3681885088410337,0.5532230682949133,0.34821625059507766
ACGL,87.55000305175781,-0.05961327081982726,-0.01440953228540165,-0.07413276954128745,-0.09468219710184167,0.2502539651689159
ADM,56.279998779296875,-0.09546773264012365,-0.01862374440771819,0.20221945237949335,0.09902783828254003,0.28231561319070014
ANET,140.39999389648438,-0.10777838490140113,0.008765636477256589,0.6088002669545094,0.32728299788904214,0.5744427271089723
AJG,248.11000061035156,-0.19166612811337658,-0.14093307407271216,-0.2639172563050207,-0.13955664998041528,0.248543877659546
AIZ,218.32000732421875,-0.00428708932849986,0.07803941734807851,0.1289477668875012,0.07384640741020387,0.2693986711882121
T,24.545000076293945,-0.05163410575662519,-0.11584984578651347,-0.10828657813778353,0.14894835635816372,0.2294323057100329
